"","SMILES","SMILESbeta","EndPt","ReadyBiodeg"
"1","C[S](O)(=O)=O","CS(=O)(=O)O","RB",1
"2","OC(=O)c1ccccc1[N+]([O-])=O","O=C(O)c1ccccc1[N+](=O)[O-]","RB",1
"3","CC(C)=CCC\C(C)=C/C=O","CC(C)=CCCC(C)=CC=O","RB",1
"4","CCCCCCCC\C=C/CCCCCCCC(=O)OC","CCCCCCCCC=CCCCCCCCC(=O)OC","RB",1
"5","COC(=O)C(C)=C","C=C(C)C(=O)OC","RB",1
"6","CCOC(=O)\C=C\C(=O)OCC","CCOC(=O)C=CC(=O)OCC","RB",1
"7","CCCCCCCCCCCC[N+](C)(C)CC([O-])=O","CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-]","RB",1
"8","CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC([O-])=O","CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]","RB",1
"9","OC/C=C/c1ccccc1","OCC=Cc1ccccc1","RB",1
"10","Oc1ccc(cc1)[S](O)(=O)=O","O=S(=O)(O)c1ccc(O)cc1","RB",1
"11","O=[P](Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3","O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1","RB",1
"12","CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2","CC1(C)C2CCC1(C)C(O)C2","RB",1
"13","[nH]1ccc2ccccc12","c1ccc2[nH]ccc2c1","RB",1
"14","O=[S]1(=O)CCCO1","O=S1(=O)CCCO1","RB",1
"15","C[N+](C)(C)O[P]([O-])(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=CC(=NC2=O)N","C[N+](C)(C)OP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O","RB",1
"16","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","NC(CSSCC(N)C(=O)O)C(=O)O","RB",1
"17","CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C","CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C","RB",1
"18","CCCCC\C=C/C/C=C\CCCCCCCC(O)=O","CCCCCC=CCC=CCCCCCCCC(=O)O","RB",1
"19","CCCCCCCC\C=C/CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC\C=C/CCCCCCCC","CCCCCCCCC=CCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCC=CCCCCCCCC","RB",1
"20","CCCCC(CC)COC(=O)C(C)=C","C=C(C)C(=O)OCC(CC)CCCC","RB",1
"21","CCCCOC(=O)C(C)=C","C=C(C)C(=O)OCCCC","RB",1
"22","CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C","C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC","RB",1
"23","OC(=O)\C=C/C(O)=O","O=C(O)C=CC(=O)O","RB",1
"24","CCC(C)OC(=O)CC(C)=O","CCC(C)OC(=O)CC(C)=O","RB",1
"25","CNCC[S](O)(=O)=O","CNCCS(=O)(=O)O","RB",1
"26","CCOC(Cl)=O","CCOC(=O)Cl","RB",1
"27","CCCCCCCCCCCCO[P](O)(O)=O","CCCCCCCCCCCCOP(=O)(O)O","RB",1
"28","CC(=O)OC(OC(C)=O)C=C","C=CC(OC(C)=O)OC(C)=O","RB",1
"29","NC(=N)[S](O)=O","N=C(N)S(=O)O","RB",1
"30","O[S](=O)(=O)c1ccccc1","O=S(=O)(O)c1ccccc1","RB",1
"31","CC1CC(OC(C)O1)OC(C)=O","CC(=O)OC1CC(C)OC(C)O1","RB",1
"32","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","OCC(O)C(O)C(O)C(O)CO","RB",1
"33","CCCCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O","CCCCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O","RB",1
"34","CC(=O)NC1C(O)OC(CO)C(O)C1O","CC(=O)NC1C(O)OC(CO)C(O)C1O","RB",1
"35","CCN(CC)CCOC(=O)C(C)=C","C=C(C)C(=O)OCCN(CC)CC","RB",1
"37","OC(CC(O)=O)C(O)=O","O=C(O)CC(O)C(=O)O","RB",1
"38","COC(=O)CC(C)=O","COC(=O)CC(C)=O","RB",1
"39","OC(=O)c1cccc(c1)C(O)=O","O=C(O)c1cccc(C(=O)O)c1","RB",1
"40","CC(C)=C1CCC(=CC1)C","CC1=CCC(=C(C)C)CC1","RB",1
"41","OC(=O)c1cccc(n1)C(O)=O","O=C(O)c1cccc(C(=O)O)n1","RB",1
"42","N[C@@H](CCC(N)=O)C(O)=O","NC(=O)CCC(N)C(=O)O","RB",1
"43","CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)CO","CCCCCCCCC=CCCCCCCCC(=O)OCC(O)CO","RB",1
"44","CCCCCCCC/C=C/CCCCCCCC(=O)OCCCC","CCCCCCCCC=CCCCCCCCC(=O)OCCCC","RB",1
"45","N[C@@H](CCCN=C(N)N)C(O)=O","NC(N)=NCCCC(N)C(=O)O","RB",1
"46","CCCCCC1OC1CC2OC2CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC3OC3CC4OC4CCCCC)OC(=O)CCCCCCCC5OC5CC6OC6CCCCC","CCCCCC1OC1CC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC1CC1OC1CCCCC)OC(=O)CCCCCCCC1OC1CC1OC1CCCCC","RB",1
"47","OC(=O)c1ccc(cc1)[N+]([O-])=O","O=C(O)c1ccc([N+](=O)[O-])cc1","RB",1
"48","O=C1NC=CC=C1","O=c1cccc[nH]1","RB",1
"49","O=NN1CN2CN(C1)CN(C2)N=O","O=NN1CN2CN(C1)CN(N=O)C2","RB",1
"51","CCCCCCCC/C=C/CCCCCCCC(=O)OCC(O)C1OCC(O)C1O","CCCCCCCCC=CCCCCCCCC(=O)OCC(O)C1OCC(O)C1O","RB",1
"52","C\1C\C=C\CC\C=C\CC\C=C1","C1=CCCC=CCCC=CCC1","NRB",0
"53","c1ccc(cc1)[Sn](c2ccccc2)(c3ccccc3)c4ccccc4","c1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1","NRB",0
"54","CC(C)(C)c1cc(N=Nc2ccccc2[N+]([O-])=O)c(O)c(c1)C(C)(C)C","CC(C)(C)c1cc(N=Nc2ccccc2[N+](=O)[O-])c(O)c(C(C)(C)C)c1","NRB",0
"55","ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl","ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl","NRB",0
"56","ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl","ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl","NRB",0
"57","ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl","ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl","NRB",0
"58","C1CCC(CC1)N(Sc2sc3ccccc3n2)C4CCCCC4","c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1","NRB",0
"59","OCC(Br)(CO)[N+]([O-])=O","O=[N+]([O-])C(Br)(CO)CO","NRB",0
"60","Oc1ccc(Cl)cc1[N+]([O-])=O","O=[N+]([O-])c1cc(Cl)ccc1O","NRB",0
"61","C\1C\C=C/CC\C=C1","C1=CCCC=CCC1","NRB",0
"62","OC1CCC(CC1O)C=C","C=CC1CCC(O)C(O)C1","NRB",0
"63","[O-][N+](=O)c1cccc2c1cccc2[N+]([O-])=O","O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12","NRB",0
"64","Cc1[nH]ccn1","Cc1ncc[nH]1","NRB",0
"65","NCCC[CH]1OC[C]2(CO1)CO[CH](CCCN)OC2","NCCCC1OCC2(CO1)COC(CCCN)OC2","NRB",0
"66","Nc1ccc(cc1)[S](N)(=O)=O","Nc1ccc(S(N)(=O)=O)cc1","NRB",0
"67","Oc1ccc(c(O)c1)C(=O)c2ccccc2","O=C(c1ccccc1)c1ccc(O)cc1O","NRB",0
"68","Oc1ccccc1Cc2ccccc2O","Oc1ccccc1Cc1ccccc1O","NRB",0
"69","CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC","CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC","NRB",0
"70","CCCC[Sn](CCCC)(CCCC)CCCC","CCCC[Sn](CCCC)(CCCC)CCCC","NRB",0
"71","Cc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O","Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1","NRB",0
