"CAS","Ready_Biodeg","BalabanJ","BertzCT","Chi0","Chi0n","Chi0v","Chi1","Chi1n","Chi1v","Chi2n","Chi2v","Chi3n","Chi3v","Chi4n","Chi4v","EState_VSA1","EState_VSA10","EState_VSA11","EState_VSA2","EState_VSA3","EState_VSA4","EState_VSA5","EState_VSA6","EState_VSA7","EState_VSA8","EState_VSA9","ExactMolWt","FpDensityMorgan1","FpDensityMorgan2","FpDensityMorgan3","FractionCSP3","HallKierAlpha","HeavyAtomCount","HeavyAtomMolWt","Ipc","Kappa1","Kappa2","Kappa3","LabuteASA","MaxAbsEStateIndex","MaxAbsPartialCharge","MaxEStateIndex","MaxPartialCharge","MinAbsEStateIndex","MinAbsPartialCharge","MinEStateIndex","MinPartialCharge","MolLogP","MolMR","MolWt","NHOHCount","NOCount","NumAliphaticCarbocycles","NumAliphaticHeterocycles","NumAliphaticRings","NumAromaticCarbocycles","NumAromaticHeterocycles","NumAromaticRings","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRadicalElectrons","NumRotatableBonds","NumSaturatedCarbocycles","NumSaturatedHeterocycles","NumSaturatedRings","NumValenceElectrons","PEOE_VSA1","PEOE_VSA10","PEOE_VSA11","PEOE_VSA12","PEOE_VSA13","PEOE_VSA14","PEOE_VSA2","PEOE_VSA3","PEOE_VSA4","PEOE_VSA5","PEOE_VSA6","PEOE_VSA7","PEOE_VSA8","PEOE_VSA9","RingCount","SMR_VSA1","SMR_VSA10","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","SMR_VSA8","SMR_VSA9","SlogP_VSA1","SlogP_VSA10","SlogP_VSA11","SlogP_VSA12","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","SlogP_VSA9","TPSA","VSA_EState1","VSA_EState10","VSA_EState2","VSA_EState3","VSA_EState4","VSA_EState5","VSA_EState6","VSA_EState7","VSA_EState8","VSA_EState9","qed"
"50-00-0","RB",2,2,2,1.11535507165041,1.11535507165041,1,0.288675134594813,0.288675134594813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78907609989417,0,4.79453718407182,30.010564684,1.5,1.5,1.5,0,-0.33,2,28.01,2,1.67,0.67,-5.36030303030303,12.9007731278733,8,0.30709702618641,8,0.106382253658542,2,0.106382253658542,2,-0.30709702618641,-0.1849,7.121,30.026,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,4.79453718407182,6.78907609989417,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79453718407182,6.78907609989417,0,0,0,0,0,0,0,0,0,0,0,0,6.78907609989417,4.79453718407182,0,0,0,0,0,0,17.07,0,0,0,0,0,0,0,0,0,10,0.360624458341902
"50-18-0","NRB",2.58226402848167,201.866475674444,10.4413112998686,7.91660018625193,10.3228852692888,6.72649205908218,4.5979617104667,7.24451701695658,2.94692754371158,5.88378677298446,1.95662433527972,4.5951889486174,1.27831039078473,3.92054417491789,7.67027973887497,4.56504828493133,0,0,31.4564016662787,12.9655780288386,0,4.6704161899213,0,5.08729506307715,27.7256269421769,260.02481971,1.35714285714286,2,2.42857142857143,1,0.69,14,245.969,1442.83306261051,12.758073519401,6.31114400109242,3.36838444118429,94.4415350074983,12.188549382716,0.34298368909486,12.188549382716,0.34298368909486,0.422538580246914,0.305966345260379,-2.84218364197531,-0.305966345260379,1.884,59.1912,261.089,1,4,0,1,1,0,0,0,2,1,7,0,5,0,1,1,84,4.52374716171182,0,0,0,0,7.67027973887497,4.56504828493133,9.75771125299845,0,23.201879780465,0,6.42082162292601,31.3942761076784,6.60688196451292,1,9.08879544664315,30.87215951934,0,9.75771125299845,0,6.42082162292601,38.0011580721913,0,0,0,5.08729506307715,0,0,30.87215951934,42.6715742621126,9.08879544664315,0,6.42082162292601,0,0,0,0,41.57,0,11.2480207545981,0,0,0,0,0,0,19.1748765432099,4.10488047996977,0.605720669080109
"50-21-5","RB",3.25758616123349,57.0586500259616,5.15470053837925,3.3800257506534,3.3800257506534,2.64273441009184,1.55195523651351,1.55195523651351,1.01421113720442,1.01421113720442,0.357390229659774,0.357390229659774,0,0,12.0732716757002,4.79453718407182,0,0,0,0,6.92373719969062,0,0,0,10.2130547896814,90.031694052,1.83333333333333,2,2,0.666666666666667,-0.57,6,84.03,13.6096404744368,5.43,1.76763383969422,1.72154518950437,35.2191248610586,9.44907407407407,0.479335598996327,9.44907407407407,0.331723079571424,1.18518518518518,0.331723079571424,-1.23148148148148,-0.479335598996327,-0.5482,19.3166,90.078,2,3,0,0,0,0,0,0,2,2,3,0,1,0,0,0,36,10.2130547896814,6.1039663877483,0,0,0,5.96930528795185,0,4.79453718407182,0,0,0,6.92373719969062,0,0,0,15.0075919737532,5.96930528795185,0,0,0,13.0277035874389,0,0,0,0,0,0,0,0,22.2863264653816,4.79453718407182,0,6.92373719969062,0,0,0,0,57.53,0,0,0,0,0,0,0,0,0,24,0.453935950647203
"50-30-6","NRB",3.31891317348667,276.242089776386,8.43072142031815,5.34344163955115,6.85529953158806,5.12589765768623,2.79971235184743,3.55564129786588,1.90181124880711,2.71621150228832,1.17662775665667,1.80656854500538,0.70213065055483,1.26124243247453,5.96930528795185,4.79453718407182,0,15.6087181191796,0,0,12.1327341369232,6.06636706846161,0,0,28.3084071753057,189.958834728,1.27272727272727,1.72727272727273,2,0,-0.73,11,186.981,255.67666789987,8.36737098344693,3.11345653379194,1.64272127110918,73.3586335398967,10.4737037037037,0.477562184171866,10.4737037037037,0.338241505660445,0.0455246913580241,0.338241505660445,-1.11055555555556,-0.477562184171866,2.6916,43.4213,191.013,1,2,0,0,0,1,0,1,1,1,4,0,1,0,0,0,58,5.10652739484071,0,0,0,0,5.96930528795185,0,4.79453718407182,0,0,29.2682468489266,12.1327341369232,0,15.6087181191796,1,9.90106457891253,29.1711850684169,0,0,0,0,0,33.8078193245645,0,0,0,0,0,23.201879780465,11.0758326827926,0,0,10.3579886757688,18.1991012053848,10.0452666274827,0,0,37.3,0,11.1184567901235,0,0,0,0,0,0,0,22.7704320987654,0.740184271459347
"50-31-7","NRB",3.42893088100618,335.668527698271,9.30096490832122,5.64405584337075,7.91184268142612,5.53658126020919,2.90536125501871,4.03925467404639,2.02334339558185,3.21570812207229,1.25785653401086,2.37711167144416,0.72311790675209,1.4129155365052,5.96930528795185,4.79453718407182,0,20.631351432921,0,0,12.1327341369232,0,0,0,39.9093470655383,223.919862376,1.16666666666667,1.66666666666667,2.08333333333333,0,-0.44,12,222.434,403.79354668027,9.64650519031142,3.51932227123154,1.65714000211964,83.6618997667784,10.5672839506173,0.477561532624863,10.5672839506173,0.338297781716681,0.0308641975308637,0.338297781716681,-1.1875,-0.477561532624863,3.345,48.4313,225.458,1,2,0,0,0,1,0,1,1,1,5,0,1,0,0,0,64,5.10652739484071,0,0,0,0,5.96930528795185,0,4.79453718407182,0,0,34.8028196706975,12.1327341369232,0,20.631351432921,1,9.90106457891253,40.7721249586494,0,0,0,0,0,32.7640855698442,0,0,0,0,0,34.8028196706975,11.0758326827926,0,0,10.3579886757688,12.1327341369232,15.067899941224,0,0,37.3,0,16.7447839506173,0,0,0,0,0,0,0,20.9218827160494,0.744344417140505
"50-65-7","NRB",2.27399675555254,734.106353820113,15.5685496218228,10.3392026235477,11.8510605155846,9.87991785310972,5.6205183288364,6.37644727485485,4.03685415579826,4.88049006301085,2.61491312211262,3.16271923338865,1.5987385244574,1.99287026885359,10.8304907781692,20.0153828476781,0,32.7330025018307,0,6.06636706846161,30.3318353423081,0,0,5.31678860400633,23.201879780465,325.986112096,1.19047619047619,1.9047619047619,2.52380952380952,0,-2.31,21,319.059,42566.8191578588,15.0859802536059,5.98658853714561,3.41885454515908,128.618565652069,12.0358882905014,0.507119704415209,12.0358882905014,0.270570702345253,0.013025793650794,0.270570702345253,-0.633561980347695,-0.507119704415209,3.8595,79.1764,327.123,2,6,0,0,0,2,0,2,4,2,8,0,3,0,0,0,108,10.423315998847,5.74951183328391,0,0,11.5945660040351,0,14.9088554528374,0,0,0,23.201879780465,24.2654682738464,17.1553674506645,21.1967821289396,2,14.8243756277302,40.4838320591837,0,0,0,0,5.31678860400633,62.1212387987149,0,5.74951183328391,5.31678860400633,11.3747725493671,5.74951183328391,23.201879780465,15.9370181730099,0,10.1143182687656,10.3579886757688,36.3982024107697,10.0452666274827,0,0,92.47,0,11.6269735808057,0,0,0,0,0,0,0,51.7619153080832,0.661180449847448
"50-79-3","NRB",3.23220887030549,296.492089776386,8.43072142031815,5.34344163955115,6.85529953158806,5.10906090528062,2.79372928770372,3.54965823372218,1.9293207872044,2.77295669441699,1.15881541433942,1.7235007381672,0.661388750953252,1.03187387652694,5.96930528795185,4.79453718407182,0,10.5860848054383,5.02263331374133,0,18.1991012053848,0,0,0,28.3084071753057,189.958834728,1.36363636363636,2,2.45454545454545,0,-0.73,11,186.981,267.188810069079,8.36737098344693,3.11345653379194,1.85085948965842,73.3586335398967,10.4308950617284,0.477600171255566,10.4308950617284,0.336760908403323,0.0270061728395068,0.336760908403323,-1.07175925925926,-0.477600171255566,2.6916,43.4213,191.013,1,2,0,0,0,1,0,1,1,1,4,0,1,0,0,0,58,5.10652739484071,0,0,0,0,5.96930528795185,0,4.79453718407182,0,0,23.201879780465,18.1991012053848,5.02263331374133,10.5860848054383,1,9.90106457891253,29.1711850684169,0,0,0,0,0,33.8078193245645,0,0,0,0,0,23.201879780465,11.0758326827926,0,0,10.3579886757688,18.1991012053848,10.0452666274827,0,0,37.3,0,11.0906481481481,0,0,0,0,0,0,0,22.7982407407407,0.740184271459347
"50-84-0","NRB",3.19606966212592,296.492089776386,8.43072142031815,5.34344163955115,6.85529953158806,5.10906090528062,2.79372928770372,3.54965823372218,1.9293207872044,2.77295669441699,1.16154035774818,1.70934646902421,0.662919542169583,1.15224702122861,5.96930528795185,4.79453718407182,0,10.5860848054383,5.02263331374133,0,18.1991012053848,0,0,0,28.3084071753057,189.958834728,1.36363636363636,2,2.45454545454545,0,-0.73,11,186.981,252.107381443737,8.36737098344693,3.11345653379194,1.85085948965842,73.3586335398967,10.4055309901738,0.477600789082387,10.4055309901738,0.336708442704298,0.065802469135803,0.336708442704298,-1.04938271604938,-0.477600789082387,2.6916,43.4213,191.013,1,2,0,0,0,1,0,1,1,1,4,0,1,0,0,0,58,5.10652739484071,0,0,0,0,5.96930528795185,0,4.79453718407182,0,0,23.201879780465,18.1991012053848,5.02263331374133,10.5860848054383,1,9.90106457891253,29.1711850684169,0,0,0,0,0,33.8078193245645,0,0,0,0,0,23.201879780465,11.0758326827926,0,0,10.3579886757688,18.1991012053848,10.0452666274827,0,0,37.3,0,11.1034819853867,0,0,0,0,0,0,0,22.7854069035021,0.740184271459346
"50-99-7","RB",2.6344089870616,146.218849100348,9.30096490832122,6.23817439509833,6.23817439509833,5.57458606266997,3.56200946959371,3.56200946959371,2.71944931738958,2.71944931738958,1.86705948977734,1.86705948977734,1.08173381058565,1.08173381058565,37.3127742448413,0,0,0,0,0,0,0,0,4.73686295380005,25.5326369742035,180.063388104,0.916666666666667,1.5,2,1,-0.24,12,168.06,454.517503542737,9.84503401360544,3.64891610323477,1.58175875865052,68.6428444367703,9.11953703703704,0.393566516002945,9.11953703703704,0.183570328512782,0.525787037037037,0.183570328512782,-1.56893518518519,-0.393566516002945,-3.2214,35.986,180.156,5,6,0,1,1,0,0,0,6,5,6,0,1,0,1,1,72,30.2694999280036,24.4158655509932,6.29002672933521,0,0,0,0,0,0,0,0,0,0,6.60688196451292,1,30.2694999280036,0,0,0,0,30.7058922803284,6.60688196451292,0,0,0,0,0,0,0,62.8454112190449,4.73686295380005,0,0,0,0,0,0,110.38,0,0,0,0,0,0,0,0,0,41.6666666666667,0.290152854529958
"51-44-5","NRB",3.15154966830605,296.492089776386,8.43072142031815,5.34344163955115,6.85529953158806,5.10906090528062,2.79372928770372,3.54965823372218,1.93404052763612,2.74844078111733,1.1665516361265,1.90558091486452,0.62916035086455,0.92725153248716,5.96930528795185,4.79453718407182,0,10.5860848054383,5.02263331374133,0,18.1991012053848,0,0,0,28.3084071753057,189.958834728,1.27272727272727,1.90909090909091,2.36363636363636,0,-0.73,11,186.981,271.812571105701,8.36737098344693,3.11345653379194,1.85085948965842,73.3586335398967,10.3627223481985,0.477638616445582,10.3627223481985,0.335234013550962,0.138333333333334,0.335234013550962,-1.01058641975309,-0.477638616445582,2.6916,43.4213,191.013,1,2,0,0,0,1,0,1,1,1,4,0,1,0,0,0,58,5.10652739484071,0,0,0,0,5.96930528795185,0,4.79453718407182,0,0,23.201879780465,18.1991012053848,0,15.6087181191796,1,9.90106457891253,29.1711850684169,0,0,0,0,0,33.8078193245645,0,0,0,0,0,23.201879780465,11.0758326827926,0,0,10.3579886757688,18.1991012053848,10.0452666274827,0,0,37.3,0,11.1230807508188,0,0,0,0,0,0,0,22.76580813807,0.740184271459347
